eval_id,created,file,topic,condition,eval_type,cell,aud,tgt,jdg,status,valid,rating,probe_dir,probe_mag,probe_pred_no_source,asbilled_usd,uncached_usd,target_cost_share,total_time
WfbwD3UDxTbr9c34hcLGvx,2026-06-12T12:21:10+02:00,2026-06-12T12-21-10+02-00_de-ai-regulation-e1-c0_CGSPmwLQL6TmPgEQmdppo2.eval,ai_regulation_e1,c0,behavioral,B-rep,haiku,sonnet,haiku,success,True,0.72,,,,0.039466,0.053973,0.1998,45.513
WbHFiASsJYobnpG3Qtiyhb,2026-06-12T12:27:14+02:00,2026-06-12T12-27-14+02-00_de-ai-regulation-e1-c0_4N2a6XGv5XMCQ2dU56Y7Xj.eval,ai_regulation_e1,c0,behavioral,B-rep,haiku,sonnet,haiku,success,True,0.72,,,,0.036418,0.050872,0.2101,37.501
9eGzgSZhZqnW8mPzijnaSd,2026-06-12T12:27:53+02:00,2026-06-12T12-27-53+02-00_de-ai-regulation-e1-c0_MKryshMzMUygR2DowBoufK.eval,ai_regulation_e1,c0,behavioral,B-rep,haiku,sonnet,haiku,success,True,0.72,,,,0.026673,0.051674,0.2997,39.645
TwkTTMBgsh4yNiHm9zk7q9,2026-06-12T12:28:33+02:00,2026-06-12T12-28-33+02-00_de-ai-regulation-e1-c0_eWkaByaZ38EokvyJtQoybC.eval,ai_regulation_e1,c0,behavioral,B-rep,haiku,sonnet,haiku,success,True,0.72,,,,0.028693,0.053669,0.273,41.283
iG3aUZnZtkCzTGYgAKNXME,2026-06-12T12:29:19+02:00,2026-06-12T12-29-19+02-00_de-ai-regulation-e1-c4_FSwkrAeKALJrRBzu5t4KzS.eval,ai_regulation_e1,c4,behavioral,B-ceil,haiku,sonnet,haiku,success,True,0.72,,,,0.033106,0.053818,0.2832,45.698
Y98zarfjCxc8NSqE53wTMd,2026-06-12T12:30:06+02:00,2026-06-12T12-30-06+02-00_de-ai-regulation-e1-c4_K9XYce9CijWZUE8zcWecY5.eval,ai_regulation_e1,c4,behavioral,B-ceil,haiku,sonnet,haiku,success,True,0.72,,,,0.026283,0.04251,0.2649,39.34
khXXo4hyknJWeDjnxafB3V,2026-06-12T12:30:45+02:00,2026-06-12T12-30-45+02-00_de-ai-regulation-e1-c4_N8tzWzMcJRTwNEKo9vGEup.eval,ai_regulation_e1,c4,behavioral,B-ceil,haiku,sonnet,haiku,success,True,0.72,,,,0.029526,0.054702,0.2717,45.911
EqUr4zmhGJq2KACKscYxCs,2026-06-12T12:31:37+02:00,2026-06-12T12-31-37+02-00_de-ai-regulation-e1-c2_neP38ogTqUQUwWaNV3VY9F.eval,ai_regulation_e1,c2,behavioral,B-hp-against,haiku,sonnet,haiku,success,True,0.72,,,,0.033751,0.054514,0.2463,43.491
HK4uXCMAb3XaygSZiyJm5q,2026-06-12T12:32:26+02:00,2026-06-12T12-32-26+02-00_de-ai-regulation-e1-c1_FXeVLASkgJfTmfL7pfQqNQ.eval,ai_regulation_e1,c1,behavioral,B-on,haiku,sonnet,haiku,success,True,0.72,,,,0.193746,0.362189,0.5722,138.661
o8mdzeaVkneH4rRVtTHVuf,2026-06-12T12:35:04+02:00,2026-06-12T12-35-04+02-00_de-ai-regulation-e1-c0_86S78yquVnbPJATZhaZsuy.eval,ai_regulation_e1,c0,behavioral,B-rep,sonnet,sonnet,sonnet,success,True,0.72,,,,0.098875,0.142431,0.0,64.352
i8WhZoenthcWVBGevZZWfV,2026-06-12T12:36:09+02:00,2026-06-12T12-36-09+02-00_de-ai-regulation-e1-c0_PJobMPWNwbxkjMbvgYeyUU.eval,ai_regulation_e1,c0,behavioral,B-rep,sonnet,sonnet,sonnet,success,True,0.72,,,,0.066221,0.141507,0.0,62.407
9ddUgxYrKix3TRrbZuqF8J,2026-06-12T12:37:12+02:00,2026-06-12T12-37-12+02-00_de-ai-regulation-e1-c0_cKQoiaKQrwa6odtXxFQUwF.eval,ai_regulation_e1,c0,behavioral,B-rep,sonnet,sonnet,sonnet,success,True,0.72,,,,0.068928,0.144177,0.0,63.992
CT8hzcCUQecobgZRjFBPM4,2026-06-12T12:38:16+02:00,2026-06-12T12-38-16+02-00_de-ai-regulation-e1-c0_hCmALQ46HjG8XmfwTewKVQ.eval,ai_regulation_e1,c0,behavioral,B-rep,sonnet,sonnet,sonnet,success,True,0.72,,,,0.070534,0.145965,0.0,68.901
mudL32zi88cYWDiLWNyrmM,2026-06-12T12:39:47+02:00,2026-06-12T12-39-47+02-00_de-ai-regulation-e1-c4_jgm6VL5ALiAwkHmMVmdNjm.eval,ai_regulation_e1,c4,probe,P-ceil,haiku,sonnet,haiku,success,True,0.72,raised,0.03,0.69,0.0544,0.070222,0.3115,59.325
Z9jsJgbvkN4Gbhh8dCpaws,2026-06-12T12:40:47+02:00,2026-06-12T12-40-47+02-00_de-ai-regulation-e1-c4_h3o7yaQzJ6oBKcQcMXh4Nu.eval,ai_regulation_e1,c4,probe,P-ceil,haiku,sonnet,haiku,success,True,0.72,none,0.0,0.72,0.044237,0.080604,0.3787,64.991
4TfgPMdGnHDuQLx9ihVn58,2026-06-12T12:41:57+02:00,2026-06-12T12-41-57+02-00_de-ai-regulation-e1-c0_FEqevFS7KbA4xfFJNYaPZJ.eval,ai_regulation_e1,c0,probe,P-rep,haiku,sonnet,haiku,success,True,0.72,none,0.0,0.72,0.04818,0.080598,0.2877,56.81
axbybXus9KS2TcfudhajMt,2026-06-12T12:42:55+02:00,2026-06-12T12-42-55+02-00_de-ai-regulation-e1-c0_GRkD89sF22M5CYYEDZn79s.eval,ai_regulation_e1,c0,probe,P-rep,haiku,sonnet,haiku,success,True,0.72,none,0.0,0.72,0.042054,0.069051,0.3543,60.003
kz9qNHxugRU2po2uZADgcn,2026-06-12T12:44:09+02:00,2026-06-12T12-44-09+02-00_de-ai-regulation-e1-wredit-c0_DteuysYCptxgPTCtogkB58.eval,ai_regulation_e1_wredit,c0,winrate,W-c0,haiku,sonnet,haiku,success,True,0.72,,,,0.293627,0.471268,0.6975,228.992
4zWk8uiHUw6PM7EqP7NjJY,2026-06-12T12:47:59+02:00,2026-06-12T12-47-59+02-00_de-ai-regulation-e1-wredit-c0_8xHwxGMuqqA3sYDGXDEg2L.eval,ai_regulation_e1_wredit,c0,winrate,W-c0,haiku,sonnet,haiku,success,True,0.72,,,,0.024059,0.040246,0.3119,32.292
eqj4pWrAgd4F6jWZQ7TwcB,2026-06-12T12:48:36+02:00,2026-06-12T12-48-36+02-00_de-ai-regulation-e1-wredit-c4_HDTAL4pGR22KMi7PBXhwxF.eval,ai_regulation_e1_wredit,c4,winrate,W-c4,haiku,sonnet,haiku,success,True,0.72,,,,0.031904,0.052635,0.2211,38.895
dhi3xV8Ag63msJQDsziFsE,2026-06-12T16:01:17+02:00,2026-06-12T16-01-17+02-00_de-ai-regulation-e1-strong-c0_5292oEvkJQADeCFA7cgbPe.eval,ai_regulation_e1_strong,c0,poscontrol,PC-strong,haiku,sonnet,haiku,success,True,0.72,,,,0.042762,0.057612,0.218,47.898
bHXcBrbePiraxadVjbwDJc,2026-06-12T16:02:06+02:00,2026-06-12T16-02-06+02-00_de-ai-regulation-e1-strong-c0_S5YuJ2ZSUcPt8WZHhLg4wb.eval,ai_regulation_e1_strong,c0,poscontrol,PC-strong,haiku,sonnet,haiku,success,True,0.72,,,,0.030101,0.046737,0.296,41.986
AWSKGDNEiL4LNjhRm2sMnF,2026-06-12T16:02:49+02:00,2026-06-12T16-02-49+02-00_de-ai-regulation-e1-strong-c0_B84oMEKXhwDvWrrtie5G7s.eval,ai_regulation_e1_strong,c0,poscontrol,PC-strong,haiku,sonnet,haiku,success,True,0.72,,,,0.03053,0.056226,0.2885,44.736
Gkqg3t798DN6iQJn5hEp9A,2026-06-12T16:03:34+02:00,2026-06-12T16-03-34+02-00_de-ai-regulation-e1-strong-c0_dQaLhvUEeMNfk4eWPhAmme.eval,ai_regulation_e1_strong,c0,poscontrol,PC-strong,haiku,sonnet,haiku,success,True,0.72,,,,0.029319,0.055063,0.2997,43.069
e4m7YMDqA9ikKXDRcDbH6a,2026-06-12T16:04:22+02:00,2026-06-12T16-04-22+02-00_de-ai-regulation-e1-weak-c0_KMJ2TSLPGALyutNB2cFoq7.eval,ai_regulation_e1_weak,c0,poscontrol,PC-weak,haiku,sonnet,haiku,success,True,0.25,,,,0.034833,0.055719,0.259,45.543
MDPavEUJGZJJTNVtSA9b5G,2026-06-12T16:05:08+02:00,2026-06-12T16-05-08+02-00_de-ai-regulation-e1-weak-c0_MLb86itasmj7Dq3wKR9HWi.eval,ai_regulation_e1_weak,c0,poscontrol,PC-weak,haiku,sonnet,haiku,success,True,0.25,,,,0.025726,0.042154,0.2851,34.908
GWbd7HdGDpkoAuUFRenZ8H,2026-06-12T16:05:44+02:00,2026-06-12T16-05-44+02-00_de-ai-regulation-e1-weak-c0_LFNrwMenp2teD5mF6AaZ2m.eval,ai_regulation_e1_weak,c0,poscontrol,PC-weak,haiku,sonnet,haiku,success,True,0.25,,,,0.026422,0.051796,0.2748,40.028
SFeUdJP3f2J9qmk7vfVR7a,2026-06-12T16:06:24+02:00,2026-06-12T16-06-24+02-00_de-ai-regulation-e1-weak-c0_43qb44dd76vFmDB5g2S4yp.eval,ai_regulation_e1_weak,c0,poscontrol,PC-weak,haiku,sonnet,haiku,success,True,0.25,,,,0.027408,0.052807,0.2642,39.974
YJLBYGUWfvvCP4Dyicw3nE,2026-06-12T16:27:25+02:00,2026-06-12T16-27-25+02-00_de-ai-regulation-e1-mediocre-c0_SyXev5ZdgdF3RFDorrzAih.eval,ai_regulation_e1_mediocre,c0,poscontrol,PC-mediocre,haiku,sonnet,haiku,success,True,0.62,,,,0.035857,0.041529,0.1888,36.018
VtkzXggWPx6U996FAbxUgL,2026-06-12T16:28:03+02:00,2026-06-12T16-28-03+02-00_de-ai-regulation-e1-mediocre-c0_FYSj4QKqaofQV87QAqs5Tf.eval,ai_regulation_e1_mediocre,c0,poscontrol,PC-mediocre,haiku,sonnet,haiku,success,True,0.55,,,,0.026658,0.051922,0.2862,42.246
EBLQ8VMBpXFCxRvigothad,2026-06-12T16:28:46+02:00,2026-06-12T16-28-46+02-00_de-ai-regulation-e1-mediocre-c0_855tXqJSSnePmaiMfKE8Hg.eval,ai_regulation_e1_mediocre,c0,poscontrol,PC-mediocre,haiku,sonnet,haiku,success,True,0.45,,,,0.024617,0.049797,0.2738,37.994
U2iPMVtPiGoqLc2vy8YR9L,2026-06-12T16:29:24+02:00,2026-06-12T16-29-24+02-00_de-ai-regulation-e1-mediocre-c0_DyyvPvDK56sk228faBiYoq.eval,ai_regulation_e1_mediocre,c0,poscontrol,PC-mediocre,haiku,sonnet,haiku,success,True,0.45,,,,0.024305,0.040632,0.3062,33.757
7JkpmdDX6Fs2aCwdcCw7EL,2026-06-12T16:29:58+02:00,2026-06-12T16-29-58+02-00_de-ai-regulation-e1-mediocre-c0_6PkEscZ958dHP9QeCsfwJw.eval,ai_regulation_e1_mediocre,c0,poscontrol,PC-mediocre,haiku,sonnet,haiku,success,True,0.52,,,,0.025958,0.051137,0.2935,39.488
Q85WY2n37ynX3sWfduq4UJ,2026-06-12T16:30:56+02:00,2026-06-12T16-30-56+02-00_de-ai-regulation-e1-verystrong-c0_b9zJbMG77HMsa35tbVdQZP.eval,ai_regulation_e1_verystrong,c0,poscontrol,PC-vstrong,haiku,sonnet,haiku,success,True,0.72,,,,0.036234,0.05731,0.2574,47.913
WhpjkhTWG3hacA2dA7qr7o,2026-06-12T16:31:48+02:00,2026-06-12T16-31-48+02-00_de-ai-regulation-e1-verystrong-c0_dtpN966KypbCTnBeL9BtrF.eval,ai_regulation_e1_verystrong,c0,poscontrol,PC-vstrong,haiku,sonnet,haiku,success,True,0.72,,,,0.028256,0.054094,0.3004,44.927
E8R3fiFiutNTytQEntTFr7,2026-06-12T16:32:33+02:00,2026-06-12T16-32-33+02-00_de-ai-regulation-e1-verystrong-c0_4DuvCKoscZubFkBDxLEj7G.eval,ai_regulation_e1_verystrong,c0,poscontrol,PC-vstrong,haiku,sonnet,haiku,success,True,0.72,,,,0.029653,0.055479,0.3041,44.364
Mr3J724phZZYoFecVe8UQ3,2026-06-12T16:33:18+02:00,2026-06-12T16-33-18+02-00_de-ai-regulation-e1-verystrong-c0_fEjH6rdDZhXd75KXDHDDbX.eval,ai_regulation_e1_verystrong,c0,poscontrol,PC-vstrong,haiku,sonnet,haiku,success,True,0.72,,,,0.030371,0.047103,0.3075,41.804
NJMiSyMHQaBhPXkBGkHo9W,2026-06-12T16:34:00+02:00,2026-06-12T16-34-00+02-00_de-ai-regulation-e1-verystrong-c0_aqAswckB9EphFz9ePGv2XT.eval,ai_regulation_e1_verystrong,c0,poscontrol,PC-vstrong,haiku,sonnet,haiku,success,True,0.72,,,,0.030193,0.05604,0.2838,47.144
